,LGBMClassifier,RandomForestClassifier,LogisticRegression,LinearSVC
train_average_precision,1.0,1.0,0.7826576368222518,0.6634504524061074
train_f1,0.998805256869773,1.0,0.7592847317744154,0.8109517601043026
train_precision,0.9976133651551312,1.0,0.8932038834951457,0.8911174785100286
train_recall,1.0,1.0,0.6602870813397129,0.7440191387559809
train_roc_auc,1.0,1.0,0.9832665764546149,0.8719309487967775
train_accuracy,0.999995869219489,1.0,0.9992771134105789,0.9994010368259083
test_average_precision,0.8519878213198379,0.8219149342740861,0.7018001380785727,0.5844215697101798
test_f1,0.8219178082191781,0.8613138686131387,0.7313432835820896,0.7638888888888888
test_precision,0.8333333333333334,0.9365079365079365,0.8166666666666667,0.7857142857142857
test_recall,0.8108108108108109,0.7972972972972973,0.6621621621621622,0.7432432432432432
test_roc_auc,0.976164086145797,0.9370606713917069,0.9455422642676441,0.8714457634336643
test_accuracy,0.9993914142596321,0.9995552642666542,0.999157342821029,0.9992041571087495
